City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Ostersund,SE,63.1792,14.6357,64.85,100,100,17.0,overcast clouds
243,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.89,83,0,10.78,clear sky
244,Bandarbeyla,SO,9.4942,50.8122,76.95,75,75,30.2,broken clouds
245,Acari,PE,-15.4311,-74.6158,67.95,65,53,5.55,broken clouds
246,Mitsamiouli,KM,-11.3847,43.2844,75.34,73,11,13.98,light rain
247,Diffa,NE,13.3154,12.6113,87.03,47,80,3.22,broken clouds
248,Sambava,MG,-14.2667,50.1667,70.02,86,90,14.12,light rain
249,Bjornevatn,NO,69.6672,29.9847,55.74,82,0,0.0,clear sky
250,Grindavik,IS,63.8424,-22.4338,49.95,93,100,10.36,overcast clouds
251,Lerwick,GB,60.1545,-1.1494,51.8,98,100,4.81,overcast clouds
252,Olafsvik,IS,64.8945,-23.7142,48.72,88,41,12.06,scattered clouds
253,Mwinilunga,ZM,-11.7358,24.4293,57.49,65,79,4.65,broken clouds
254,Chabahar,IR,25.2919,60.643,83.25,83,98,9.89,overcast clouds
255,Benguela,AO,-12.5763,13.4055,69.37,73,4,3.36,clear sky
256,Ambilobe,MG,-13.2,49.05,64.0,77,15,4.14,few clouds
257,Salalah,OM,17.0151,54.0924,84.29,79,75,6.91,broken clouds
258,Faya,SA,18.3851,42.4509,71.71,44,92,2.84,overcast clouds
259,Kedrovyy,RU,56.1667,91.8167,55.87,93,100,2.73,overcast clouds
260,Ancud,CL,-41.8697,-73.8203,42.22,69,72,7.9,broken clouds
261,Kitgum,UG,3.2783,32.8867,68.49,74,91,3.0,overcast clouds
262,Orocue,CO,4.7912,-71.3354,81.48,80,47,0.45,scattered clouds
263,Mogadishu,SO,2.0371,45.3438,77.2,78,100,17.56,overcast clouds
264,Kachkanar,RU,58.7,59.4948,49.84,81,100,2.48,overcast clouds
265,Talcahuano,CL,-36.7167,-73.1167,51.48,71,40,9.22,scattered clouds
266,Iqaluit,CA,63.7506,-68.5145,44.33,75,20,19.57,few clouds
267,Phalodi,IN,27.1333,72.3667,83.14,74,93,10.92,overcast clouds
268,Gandevi,IN,20.8167,72.9833,80.24,87,100,12.71,overcast clouds
269,Gamba,GA,-2.65,10.0,70.48,92,5,4.38,clear sky
270,Rosetta,EG,31.4044,30.4164,75.72,74,0,6.93,clear sky
271,Castro,BR,-24.7911,-50.0119,53.11,77,0,4.72,clear sky
272,Caraquet,CA,47.7941,-64.9386,68.54,75,66,10.51,broken clouds
273,Bengkulu,ID,-3.8004,102.2655,72.23,84,77,5.73,broken clouds
274,Sohag,EG,26.557,31.6948,86.54,27,0,6.55,clear sky
275,Mangan,IN,27.5167,88.5333,75.49,94,100,1.07,overcast clouds
276,Usagara,TZ,-2.6833,33.0,72.05,43,92,8.39,overcast clouds
277,Buba,GW,11.5833,-15.0,77.94,88,100,4.56,light rain
278,Bojnurd,IR,37.4747,57.329,75.15,53,0,2.3,clear sky
279,Kharp,RU,66.8014,65.8081,55.15,61,66,5.84,broken clouds
280,Lokoja,NG,7.8024,6.743,73.99,91,100,2.95,overcast clouds
281,Dolores,AR,-36.3132,-57.6792,48.72,81,100,7.7,light rain
282,Chicama,PE,-7.8447,-79.1469,63.14,69,4,8.23,clear sky
283,Richards Bay,ZA,-28.783,32.0377,63.25,68,0,13.38,clear sky
284,Mufumbwe,ZM,-13.6833,24.8,57.61,66,39,5.39,scattered clouds
285,Turbat,PK,26.0023,63.044,83.32,77,91,2.68,overcast clouds
