City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
183,Timmins,CA,2022-06-28 17:40:40,48.4669,-81.3331,64.22,68,100,5.75
184,Lincoln,US,2022-06-28 17:40:40,40.8,-96.667,83.86,43,0,18.41
185,Srisailam,IN,2022-06-28 17:40:41,16.0833,78.8667,73.38,87,100,7.4
186,Kupang,ID,2022-06-28 17:40:41,-10.1667,123.5833,77.41,80,27,14.41
187,Muros,ES,2022-06-28 17:38:45,42.7762,-9.0603,68.16,75,35,6.04
188,Vostok,RU,2022-06-28 17:40:42,46.4856,135.8833,53.85,97,100,3.29
189,La Ronge,CA,2022-06-28 17:40:42,55.1001,-105.2842,66.42,29,20,11.5
190,Tilichiki,RU,2022-06-28 17:40:43,60.4667,166.1,49.46,87,8,2.93
191,Lianyuan,CN,2022-06-28 17:40:43,27.6883,111.6642,76.53,92,98,2.53
192,Daru,PG,2022-06-28 17:40:44,-9.0763,143.2092,77.77,90,84,12.21
193,Chokurdakh,RU,2022-06-28 17:40:44,70.6333,147.9167,43.7,62,64,11.12
194,Nueva Gorgona,PA,2022-06-28 17:40:44,8.55,-79.8667,84.2,76,93,3.02
195,Manoel Urbano,BR,2022-06-28 17:40:45,-8.8389,-69.2597,93.25,33,4,1.48
196,Yeniseysk,RU,2022-06-28 17:40:46,58.4497,92.1703,52.88,93,36,5.5
197,Bagotville,AU,2022-06-28 17:40:46,-28.9833,153.4167,52.86,99,90,8.7
198,Kaitangata,NZ,2022-06-28 17:40:47,-46.2817,169.8464,38.52,80,96,5.64
199,Thompson,CA,2022-06-28 17:40:47,55.7435,-97.8558,60.96,48,75,12.66
200,Henties Bay,NA,2022-06-28 17:40:48,-22.116,14.2845,68.31,50,0,7.54
201,Mandalgovi,MN,2022-06-28 17:40:48,45.7625,106.2708,70.7,40,66,7.05
202,Namibe,AO,2022-06-28 17:40:49,-15.1961,12.1522,70.75,60,11,6.22
203,Zhigansk,RU,2022-06-28 17:40:49,66.7697,123.3711,41.95,64,0,11.86
204,Qaanaaq,GL,2022-06-28 17:40:49,77.484,-69.3632,46.08,49,52,2.53
205,Salalah,OM,2022-06-28 17:36:09,17.0151,54.0924,84.29,89,100,8.05
206,Narsaq,GL,2022-06-28 17:40:50,60.9167,-46.05,53.82,79,100,11.36
207,Nikolskoye,RU,2022-06-28 17:40:51,59.7035,30.7861,75.09,53,76,6.82
208,Cherskiy,RU,2022-06-28 17:40:51,68.75,161.3,43.39,85,100,11.03
209,Longyearbyen,SJ,2022-06-28 17:40:52,78.2186,15.6401,48.04,76,0,2.3
210,Bourail,NC,2022-06-28 17:40:52,-21.5667,165.4833,69.67,86,100,6.67
211,Peniche,PT,2022-06-28 17:40:53,39.3558,-9.3811,72.28,70,0,19.39
212,Kahului,US,2022-06-28 17:39:59,20.8947,-156.47,78.84,69,20,11.5
213,Hopelchen,MX,2022-06-28 17:40:54,19.7667,-89.85,96.35,37,49,2.06
214,Morehead,US,2022-06-28 17:40:54,37.2711,-87.1764,79.0,41,0,6.91
215,Port Blair,IN,2022-06-28 17:40:55,11.6667,92.75,80.64,89,40,2.3
216,Sarahan,IN,2022-06-28 17:40:55,31.5167,77.8,68.72,81,89,1.12
217,Port Lincoln,AU,2022-06-28 17:40:56,-34.7333,135.8667,52.14,76,3,13.94
218,Langenhagen,DE,2022-06-28 17:40:56,52.45,9.75,78.17,40,0,4.61
219,Uyuni,BO,2022-06-28 17:40:57,-20.4597,-66.825,49.42,38,12,18.25
220,Palasa,IN,2022-06-28 17:40:57,18.7667,84.4167,82.47,84,100,9.22
221,Tete,MZ,2022-06-28 17:40:58,-16.1564,33.5867,68.09,77,75,4.61
222,Cayenne,GF,2022-06-28 17:40:58,4.9333,-52.3333,84.24,1,75,4.61
223,Vallenar,CL,2022-06-28 17:40:59,-28.5708,-70.7581,74.44,12,0,2.73
224,Srednekolymsk,RU,2022-06-28 17:40:59,67.45,153.6833,46.69,83,98,9.37
225,Mount Gambier,AU,2022-06-28 17:37:47,-37.8333,140.7667,41.47,66,2,9.53
226,Okhotsk,RU,2022-06-28 17:41:00,59.3833,143.3,48.81,94,100,7.52
227,Senneterre,CA,2022-06-28 17:41:00,48.3835,-77.2328,73.17,36,3,12.82
228,Victor Harbor,AU,2022-06-28 17:41:01,-35.5667,138.6167,48.69,70,13,14.9
229,Chandbali,IN,2022-06-28 17:41:01,20.7833,86.7667,84.29,80,100,10.4
230,Pangai,TO,2022-06-28 17:41:02,-19.8,-174.35,77.11,94,40,9.22
231,Touros,BR,2022-06-28 17:41:03,-5.1989,-35.4608,81.34,73,43,15.93
232,Mpika,ZM,2022-06-28 17:41:04,-11.8343,31.4529,50.36,93,74,4.21
233,Shasta Lake,US,2022-06-28 17:41:04,40.6804,-122.3708,89.96,26,0,3.2
234,Kavieng,PG,2022-06-28 17:41:05,-2.5744,150.7967,81.45,75,62,9.8
235,Port-Gentil,GA,2022-06-28 17:41:05,-0.7193,8.7815,75.16,83,20,10.36
236,Zemio,CF,2022-06-28 17:41:06,5.0314,25.1361,69.31,95,100,1.41
237,Itaguai,BR,2022-06-28 17:37:25,-22.8522,-43.7753,82.02,47,0,10.36
238,Komsomolskiy,UZ,2022-06-28 17:41:06,40.4272,71.7189,88.52,33,0,6.91
239,Esso,RU,2022-06-28 17:41:07,55.9333,158.7,58.86,68,0,1.61
240,Provideniya,RU,2022-06-28 17:41:07,64.3833,-173.3,44.8,97,99,6.55
241,Biak,ID,2022-06-28 17:41:08,-0.9131,122.8766,75.7,84,100,4.92
242,Katherine,AU,2022-06-28 17:41:08,-14.4667,132.2667,59.32,82,100,9.22
243,San Andres,CO,2022-06-28 17:41:09,12.5847,-81.7006,86.02,70,75,12.66
244,Hudson Bay,CA,2022-06-28 17:41:09,52.85,-102.3842,64.8,38,14,3.51
245,Wainwright,CA,2022-06-28 17:39:43,52.839,-110.8572,62.4,61,83,10.18
246,Broken Hill,AU,2022-06-28 17:41:10,-31.95,141.4333,47.84,47,100,5.99
247,Constitucion,CL,2022-06-28 17:41:10,-35.3333,-72.4167,56.43,66,73,6.35
248,Port Hardy,CA,2022-06-28 17:41:11,50.6996,-127.4199,60.98,82,75,5.75
249,Cantagallo,CO,2022-06-28 17:41:11,7.376,-73.9196,84.78,74,80,0.94
250,Brae,GB,2022-06-28 17:41:12,60.3964,-1.353,56.34,81,98,21.32
251,Sobolevo,RU,2022-06-28 17:41:12,54.4299,31.8996,73.35,76,99,2.82
