City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
142,Sakakah,SA,89.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
146,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
148,Morros,BR,78.26,clear sky,-9.4467,-46.3003,
149,Filadelfia,US,89.85,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
152,Srikakulam,IN,80.13,overcast clouds,18.3,83.9,Micro Systems
154,Oranjestad,AW,84.15,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
157,Cape Coast,GH,76.24,overcast clouds,5.1053,-1.2466,Samrit Hotel
160,Cruz,BR,76.78,clear sky,-2.9178,-40.1717,Hotel Villaboibom
161,Waddan,LY,88.43,clear sky,29.1614,16.139,محل الشريف محمد العايب
166,Guiratinga,BR,75.34,clear sky,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
168,Charagua,BO,85.57,clear sky,-19.8,-63.2167,Hotel
173,Zhob,PK,81.99,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
174,Takoradi,GH,75.31,broken clouds,4.8845,-1.7554,Raybow International Hotel
176,Sao Jose Da Coroa Grande,BR,75.94,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
182,Victoria,HK,82.45,overcast clouds,22.2855,114.1577,Mini Central
183,Matay,EG,83.97,clear sky,28.419,30.7792,Nag Aespen
